890914526-4;ALMACENES FLAMINGO S A        ;34353;1792997,00
890914526-4;ALMACENES FLAMINGO S A        ;34463;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34464;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34465;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34466;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34467;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34468;2732649,00
890914526-4;ALMACENES FLAMINGO S A        ;34469;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34470;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34471;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34618;2633545,00
890914526-4;ALMACENES FLAMINGO S A        ;34619;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34620;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34621;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34622;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34623;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34624;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34625;1366325,00
890914526-4;ALMACENES FLAMINGO S A        ;34626;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34627;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34628;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34676;1762083,00
890914526-4;ALMACENES FLAMINGO S A        ;34678;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34679;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34680;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34681;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34682;2732649,00
890914526-4;ALMACENES FLAMINGO S A        ;34683;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34684;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34685;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34953;1792997,00
890914526-4;ALMACENES FLAMINGO S A        ;34954;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34955;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;34956;1366325,00
890914526-4;ALMACENES FLAMINGO S A        ;34957;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;34958;1205636,00
890914526-4;ALMACENES FLAMINGO S A        ;34959;539894,00
890914526-4;ALMACENES FLAMINGO S A        ;34960;302879,00
890914526-4;ALMACENES FLAMINGO S A        ;35078;1823911,00
890914526-4;ALMACENES FLAMINGO S A        ;35079;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35081;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35082;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;35083;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;35084;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35085;2732649,00
890914526-4;ALMACENES FLAMINGO S A        ;35086;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;35087;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35088;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35089;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35090;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35286;1957834,00
890914526-4;ALMACENES FLAMINGO S A        ;35287;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;35396;1613391,00
890914526-4;ALMACENES FLAMINGO S A        ;35402;2732649,00
890914526-4;ALMACENES FLAMINGO S A        ;35407;1724744,00
890914526-4;ALMACENES FLAMINGO S A        ;35408;1724744,00
890914526-4;ALMACENES FLAMINGO S A        ;35624;1799117,00
890914526-4;ALMACENES FLAMINGO S A        ;35791;1496077,00
890914526-4;ALMACENES FLAMINGO S A        ;35985;2546924,00
890914526-4;ALMACENES FLAMINGO S A        ;38162;2078837,00
890914526-4;ALMACENES FLAMINGO S A        ;38555;938193,00
890914526-4;ALMACENES FLAMINGO S A        ;42676;11643567,00
890914526-4;ALMACENES FLAMINGO S A        ;43010;1574088,00
890914526-4;ALMACENES FLAMINGO S A        ;43011;1477097,00
890914526-4;ALMACENES FLAMINGO S A        ;FMOT37315;1391607,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41871;11012760,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41872;1683000,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42050;6587460,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42172;4653000,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42173;2977920,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42174;13359555,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42188;1485000,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42471;11897820,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42472;1731510,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42473;1591920,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42910;8141760,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42911;108900,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42912;8323920,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42917;1789920,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42918;1789920,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;42919;9603000,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;43245;7874460,00
900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;43247;8719920,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;32454;21523388,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41840;3663000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41854;23166000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41855;14275800,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41857;4752000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41864;2376000,00
