   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41442;3069000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41620;1881000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41623;18542700
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41624;24037200
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41625;11187000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41627;2970000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41632;23235300
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41633;14652000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41666;3960000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41667;990000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41669;6009300
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41759;13365000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41840;3663000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41854;23166000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41855;14275800
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41857;4752000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41864;2376000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41870;1188000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41873;1386000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41899;18211050
   830043084-4;C I CARBOCOQUE S A            ;40062;5385600
   830043084-4;C I CARBOCOQUE S A            ;40063;5647010
   830043084-4;C I CARBOCOQUE S A            ;40064;5540832
   830043084-4;C I CARBOCOQUE S A            ;40266;5281056
   830043084-4;C I CARBOCOQUE S A            ;40267;5300064
   830043084-4;C I CARBOCOQUE S A            ;40318;5401440
   830043084-4;C I CARBOCOQUE S A            ;40319;5707449
   830043084-4;C I CARBOCOQUE S A            ;40320;5648643
   830043084-4;C I CARBOCOQUE S A            ;40321;5469008
   830043084-4;C I CARBOCOQUE S A            ;40322;5691114
   830043084-4;C I CARBOCOQUE S A            ;40323;5439456
   830043084-4;C I CARBOCOQUE S A            ;40324;5334912
   830043084-4;C I CARBOCOQUE S A            ;40540;5466384
   830043084-4;C I CARBOCOQUE S A            ;40541;4997025
   830043084-4;C I CARBOCOQUE S A            ;40543;5691114
   830043084-4;C I CARBOCOQUE S A            ;40544;5650128
   830043084-4;C I CARBOCOQUE S A            ;40545;4893966
